"spec","env","r","p","df_r","df_p"
"Human","asses",0.00859085824006291,0.374,"< 0.5",">= 0.05"
"Human","buffalo",0.779034533255686,0.001,"0.75 - 0.9","< 0.001"
"Human","camels",0.626222663759436,0.001,"0.5 - 0.75","< 0.001"
"Human","cattle with the bone",0.531798485365204,0.001,"0.5 - 0.75","< 0.001"
"Human","chickens",0.651616830124822,0.001,"0.5 - 0.75","< 0.001"
"Human","ducks",0.20517457890143,0.037,"< 0.5","0.01 - 0.05"
"Human","geese",0.12367449283261,0.111,"< 0.5",">= 0.05"
"Human","goat",0.543771753959159,0.001,"0.5 - 0.75","< 0.001"
"Human","mules",0.287627881894981,0.008,"< 0.5","0.001 - 0.01"
"Human","other domestic camelids",0.765948011769225,0.001,"0.75 - 0.9","< 0.001"
"Human","other domestic rodents",0.804384536921724,0.001,"0.75 - 0.9","< 0.001"
"Human","pig with the bone",0.41097669297248,0.001,"< 0.5","< 0.001"
"Human","pigeons and other birds",0.610510218331931,0.001,"0.5 - 0.75","< 0.001"
"Human","rabbits and hares",-0.0511342011868499,0.695,"< 0.5",">= 0.05"
"Human","sheep",0.492274395889254,0.001,"< 0.5","< 0.001"
"Human","turkeys",0.3508701117778,0.002,"< 0.5","0.001 - 0.01"
"Human","mammals",0.792201506942182,0.001,"0.75 - 0.9","< 0.001"
"Swine","asses",-0.102785281341912,0.932,"< 0.5",">= 0.05"
"Swine","buffalo",0.469300703622972,0.003,"< 0.5","0.001 - 0.01"
"Swine","camels",0.277155589335635,0.007,"< 0.5","0.001 - 0.01"
"Swine","cattle with the bone",0.278251785960797,0.011,"< 0.5","0.01 - 0.05"
"Swine","chickens",0.351816369743291,0.001,"< 0.5","< 0.001"
"Swine","ducks",0.0936399941578135,0.159,"< 0.5",">= 0.05"
"Swine","geese",0.0355378745858435,0.312,"< 0.5",">= 0.05"
"Swine","goat",0.282335504412827,0.004,"< 0.5","0.001 - 0.01"
"Swine","mules",0.0630720918102052,0.14,"< 0.5",">= 0.05"
"Swine","other domestic camelids",0.447883439444523,0.002,"< 0.5","0.001 - 0.01"
"Swine","other domestic rodents",0.563247411115552,0.001,"0.5 - 0.75","< 0.001"
"Swine","pig with the bone",0.362576132093033,0.002,"< 0.5","0.001 - 0.01"
"Swine","pigeons and other birds",0.463569395718839,0.005,"< 0.5","0.001 - 0.01"
"Swine","rabbits and hares",-0.0580034844742636,0.7,"< 0.5",">= 0.05"
"Swine","sheep",0.246918085542362,0.013,"< 0.5","0.01 - 0.05"
"Swine","turkeys",0.244037301062196,0.013,"< 0.5","0.01 - 0.05"
"Swine","mammals",0.497407686184101,0.001,"< 0.5","< 0.001"
